epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,880.076,1.50968,1.70831,1.19202,0.91549,0.51471,0.58085,0.3453,1.39008,1.18045,1.16921,0.00047489,0.00047489,0.00047489
2,1677.79,1.4399,1.14677,1.16838,0.9193,0.53793,0.58995,0.36278,1.35155,0.9997,1.174,0.000904138,0.000904138,0.000904138
3,2479.66,1.41554,1.03731,1.16256,0.93038,0.53379,0.5988,0.36747,1.3543,0.9058,1.17977,0.00128623,0.00128623,0.00128623
4,3275.29,1.41546,0.98539,1.16983,0.92963,0.55772,0.60923,0.37275,1.35957,0.83074,1.16166,0.00121679,0.00121679,0.00121679
5,4052.42,1.38369,0.93009,1.14579,0.94039,0.56336,0.61493,0.38779,1.3025,0.78186,1.14621,0.00114606,0.00114606,0.00114606
6,4829.74,1.36153,0.87676,1.13806,0.94976,0.56817,0.62403,0.38851,1.30407,0.73874,1.15032,0.00107532,0.00107532,0.00107532
7,5603.2,1.34003,0.8643,1.13098,0.94376,0.57802,0.62361,0.39575,1.29297,0.72378,1.13256,0.00100459,0.00100459,0.00100459
8,6377.35,1.32985,0.82933,1.1262,0.94374,0.57104,0.6242,0.3937,1.30369,0.71414,1.14401,0.000933851,0.000933851,0.000933851
9,7154.15,1.32187,0.81606,1.11923,0.95048,0.58242,0.6331,0.39892,1.28799,0.68466,1.13171,0.000863116,0.000863116,0.000863116
10,7926.83,1.31143,0.79999,1.1128,0.94306,0.58076,0.63215,0.39565,1.29307,0.70693,1.13244,0.00079238,0.00079238,0.00079238
11,8688.41,1.28572,0.70716,1.12048,0.95332,0.58609,0.63424,0.40674,1.27881,0.65653,1.12259,0.000721645,0.000721645,0.000721645
12,9450.38,1.27197,0.68642,1.11008,0.95168,0.58353,0.63141,0.41097,1.25228,0.65827,1.10833,0.000650909,0.000650909,0.000650909
13,10212.5,1.26125,0.67025,1.10926,0.95496,0.59023,0.63668,0.41323,1.25405,0.6349,1.11408,0.000580174,0.000580174,0.000580174
14,10971.6,1.24367,0.65534,1.10009,0.95434,0.58889,0.63765,0.41319,1.23689,0.6365,1.10873,0.000509438,0.000509438,0.000509438
15,11737.2,1.22838,0.63667,1.09083,0.95474,0.59455,0.63903,0.41919,1.22676,0.61924,1.1078,0.000438703,0.000438703,0.000438703
16,12503.2,1.22456,0.62768,1.09023,0.95901,0.58828,0.63854,0.41929,1.22796,0.61112,1.10157,0.000367967,0.000367967,0.000367967
17,13267.5,1.20857,0.61022,1.08389,0.95357,0.59885,0.64057,0.42579,1.21324,0.59372,1.09585,0.000297232,0.000297232,0.000297232
18,14032.1,1.19778,0.59583,1.07329,0.95689,0.59607,0.64231,0.42646,1.20972,0.58556,1.09331,0.000226497,0.000226497,0.000226497
19,14793.4,1.18331,0.58514,1.06796,0.95508,0.60132,0.64311,0.42771,1.2052,0.57392,1.09039,0.000155761,0.000155761,0.000155761
20,15554.6,1.17346,0.56951,1.06359,0.95677,0.5985,0.64493,0.43306,1.19306,0.56613,1.08819,8.50255e-05,8.50255e-05,8.50255e-05
