瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),捞浇痢柯档(∑C),泅瘤扁拘(hPa),秦搁扁拘(hPa),老炼(hr),老荤(MJ/m2),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),泅惑锅龋(惫郴侥),瘤搁柯档(∑C)
131,没林,2021-01-01 01:00,-7.2,,.4,0,85,-9.2,1020.6,1028.3,,,806,,1905,-.9
131,没林,2021-01-01 02:00,-7.8,,.9,160,84,-10,1020.6,1028.3,,,962,,1905,-1
131,没林,2021-01-01 03:00,-8.2,0,.3,0,84,-10.4,1021.1,1028.8,,,880,,1905,-1.2
131,没林,2021-01-01 04:00,-8.9,,0,0,84,-11.1,1021,1028.8,,,827,,1905,-1.3
131,没林,2021-01-01 05:00,-9.1,,.8,270,83,-11.4,1020.6,1028.4,,,903,,1905,-1.3
131,没林,2021-01-01 06:00,-9.4,0,.2,0,85,-11.4,1020.5,1028.3,,,880,,19,-1.3
131,没林,2021-01-01 07:00,-9.9,,.7,180,85,-11.9,1020.3,1028.1,,,794,,19,-1.4
131,没林,2021-01-01 08:00,-9.9,,.5,180,85,-11.9,1020.7,1028.5,0,0,580,,19,-1.4
131,没林,2021-01-01 09:00,-8.9,,.2,0,83,-11.2,1021,1028.8,.5,.27,528,,19,-.9
131,没林,2021-01-01 10:00,-7.2,,.4,0,79,-10.2,1021,1028.7,.9,.85,528,,1905,-.5
131,没林,2021-01-01 11:00,-5.2,,.6,200,79,-8.2,1020.7,1028.3,.3,.75,596,,1905,-.3
131,没林,2021-01-01 12:00,-4.1,0,.4,0,74,-8,1019.7,1027.3,.2,.96,715,,1905,-.2
131,没林,2021-01-01 13:00,-3.5,,1,290,73,-7.6,1019,1026.6,.1,.87,705,,1905,0
131,没林,2021-01-01 14:00,-3.5,,.6,160,77,-6.9,1018.7,1026.3,0,.68,761,,1905,0
131,没林,2021-01-01 15:00,-2.5,.2,.4,0,78,-5.8,1018.1,1025.6,.3,.67,1023,,1905,0
131,没林,2021-01-01 16:00,-2.1,,.2,0,76,-5.7,1018.1,1025.6,0,.33,1164,,,0
131,没林,2021-01-01 17:00,-2.3,,.3,0,82,-4.9,1018.1,1025.6,0,.08,607,,1905,0
131,没林,2021-01-01 18:00,-2.5,.2,.2,0,85,-4.6,1018,1025.5,0,0,295,,1905,-.2
131,没林,2021-01-01 19:00,-2.5,,.4,0,88,-4.2,1018.3,1025.8,,,883,,1905,-.2
131,没林,2021-01-01 20:00,-2.5,,.1,0,89,-4,1018.5,1026,,,429,,1905,-.3
131,没林,2021-01-01 21:00,-2.5,.2,.7,270,89,-4,1018.4,1025.9,,,412,,19,-.4
131,没林,2021-01-01 22:00,-2.6,,1.2,270,88,-4.3,1018.8,1026.4,,,987,,19,-.4
131,没林,2021-01-01 23:00,-2.8,,0,0,89,-4.3,1018.7,1026.3,,,355,,19,-.5
131,没林,2021-01-02 00:00,-3.6,,.2,0,90,-5,1018.6,1026.2,,,251,,19,-.9
131,没林,2021-01-02 01:00,-4.6,,1,270,91,-5.8,1018.5,1026.1,,,247,,19,-1
131,没林,2021-01-02 02:00,-5.1,,.6,230,91,-6.3,1019.2,1026.8,,,35,,1916,-.7
131,没林,2021-01-02 03:00,-5.4,0,.6,180,91,-6.6,1019.3,1026.9,,,80,,1611,-.9
